County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update,STATEFP,COUNTYFP
El Paso,Texas,3,0,0,0%,31.75916,-106.48749,2020-03-19 20:03 EDT,48,141
Matagorda,Texas,3,0,1,33.30%,28.69123,-95.96755,2020-03-19 20:03 EDT,48,321
Lubbock,Texas,3,0,0,0%,33.61019304,-101.8204416,2020-03-19 20:03 EDT,48,303
Potter,Texas,2,0,0,0%,35.40127385,-101.8939736,2020-03-19 20:03 EDT,48,375
Gregg,Texas,1,0,0,0%,32.48062462,-94.81699103,2020-03-19 20:03 EDT,48,183
Lavaca,Texas,1,0,0,0%,29.38432888,-96.93010975,2020-03-19 20:03 EDT,48,285
Bowie,Texas,1,0,0,0%,33.559,-97.8486,2020-03-19 20:03 EDT,48,37
Webb,Texas,1,0,0,0%,27.7925,-99.4228,2020-03-19 20:03 EDT,48,479
Rusk,Texas,1,0,0,0%,31.796,-95.1502,2020-03-19 20:03 EDT,48,401
Ellis,Texas,1,0,0,0%,32.34839289,-96.79460418,2020-03-19 20:03 EDT,48,139
Wichita,Texas,1,0,0,0%,33.98410156,-98.70169462,2020-03-19 20:03 EDT,48,485
Johnson,Texas,1,0,0,0%,32.37899029,-97.36641179,2020-03-19 20:03 EDT,48,251
Comal,Texas,1,0,0,0%,29.80818438,-98.2781952,2020-03-19 20:03 EDT,48,91
Grimes,Texas,1,0,0,0%,30.54365581,-95.98530182,2020-03-19 20:03 EDT,48,185
Fannin,Texas,1,0,0,0%,33.59309617,-96.10695931,2020-03-19 20:03 EDT,48,147
Jefferson,Texas,1,0,0,0%,29.88366401,-94.16922753,2020-03-19 20:03 EDT,48,245
DeWitt,Texas,1,0,0,0%,29.08205895,-97.3568176,2020-03-19 20:03 EDT,48,123
Brown,Texas,1,0,0,0%,31.77427489,-98.99985028,2020-03-19 20:03 EDT,48,49
Van Zandt,Texas,1,0,0,0%,32.56229951,-95.83587208,2020-03-19 20:03 EDT,48,467
Denver,Colorado,43,0,0,0%,39.74001,-104.99202,2020-03-19 20:03 EDT,8,31
Eagle,Colorado,39,0,0,0%,39.65565,-106.82788,2020-03-19 20:03 EDT,8,37
Jefferson,Colorado,25,0,0,0%,39.58643164,-105.2504022,2020-03-19 20:03 EDT,8,59
Arapahoe,Colorado,22,0,0,0%,39.64976719,-104.3392044,2020-03-19 20:03 EDT,8,5
Douglas,Colorado,11,0,0,0%,39.32966642,-104.9295706,2020-03-19 20:03 EDT,8,35
Pitkin,Colorado,11,0,0,0%,39.21712515,-106.9167355,2020-03-19 20:03 EDT,8,97
Gunnison,Colorado,11,0,0,0%,38.54526,-106.92692,2020-03-19 20:03 EDT,8,51
Boulder,Colorado,11,0,0,0%,40.01574,-105.27924,2020-03-19 20:03 EDT,8,13
Adams,Colorado,10,0,0,0%,39.87375914,-104.3366349,2020-03-19 20:03 EDT,8,1
Weld,Colorado,9,0,1,11.10%,40.55477273,-104.3924353,2020-03-19 20:03 EDT,8,123
El Paso,Colorado,8,0,1,12.50%,38.83212691,-104.5255141,2020-03-19 20:03 EDT,8,41
Summit,Colorado,5,0,0,0%,39.6341694,-106.1163607,2020-03-19 20:03 EDT,8,117
Larimer,Colorado,4,0,0,0%,40.66645245,-105.4609363,2020-03-19 20:03 EDT,8,69
Routt,Colorado,2,0,0,0%,40.48499792,-106.9912189,2020-03-19 20:03 EDT,8,107
Garfield,Colorado,2,0,0,0%,39.59922654,-107.9040019,2020-03-19 20:03 EDT,8,45
Clear Creek,Colorado,2,0,0,0%,39.68905313,-105.6443322,2020-03-19 20:03 EDT,8,19
Pueblo,Colorado,1,0,0,0%,38.26375,-104.61252,2020-03-19 20:03 EDT,8,101
